1,3rd,1-,I,M 1a,I
2,4th,1,I,M 1b,I
3,Easy 5th,1+,I,M 1c,I
4,5.0,2-,I,MM 1c,I
5,5.1,2,II,MD 2a,II
6,5.2,3,II,D 2c,II
7,5.3,3+,III,VD 3a,III
8,5.4,4a,IV,VD 3c,IV
9,5.5,4b,IV+,MS 4a,IV
10,5.6,4c,V,S 4b,IV+
11,5.7,5a,V+,MVS 4b,V-
12,5.7+,5a,V+,MVS 4b,V-
13,5.8-,5b,VI-,VS 4c,V
14,5.8,5b,VI-,HVS 4c,V
15,5.8+,5b,VI-,HVS 4c,V
16,5.9-,5c,VI,HVS 4c,V+
17,5.9,5c,VI,HVS 5a,V+
18,5.9+,5c,VI,E1 5a,V+
19,5.10a,6a,VI+,E1 5a,VI
20,5.10-,6a,VI+,E1 5a,VI
21,5.10a/b,6a+,VI+,E2 5b,VI+
22,5.10b,6a+,VII-,E2 5b,VI+
23,5.10,6b,VII-,E2 5b,VI.1
24,5.10b/c,6b,VII,E2 5b,VI.1
25,5.10c,6b,VII,E2 5b,VI.1
26,5.10+,6b+,VII+,E3 5b,VI.1+
27,5.10c/d,6b+,VII+,E3 5b,VI.1+
28,5.10d,6b+,VII+,E3 5b,VI.1+
29,5.11a,6c,VII+,E3 5c,VI.2
30,5.11-,6c,VIII-,E3 5c,VI.2
31,5.11a/b,6c,VIII-,E3 5c,VI.2
32,5.11b,6c,VIII-,E3 5c,VI.2
33,5.11,6c+,VIII-,E4 5c,VI.2+
34,5.11b/c,6c+,VIII-,E4 6a,VI.2+
35,5.11c,6c+,VIII-,E4 6a,VI.2+
36,5.11+,7a,VIII,E4 6a,VI.3
37,5.11c/d,7a,VIII,E4 6a,VI.4
38,5.11d,7a,VIII,E5 6a,VI.5
39,5.12a,7a+,VIII+,E5 6a,VI.3+
40,5.12-,7a+,VIII+,E5 6a,VI.3+
41,5.12a/b,7b,VIII+,E5 6a,VI.4
42,5.12b,7b,VIII+,E5 6b,VI.4+
43,5.12,7b+,VIII+,E6 6b,VI.4+
44,5.12b/c,7b+,IX-,E6 6b,VI.4+
45,5.12c,7b+,IX-,E6 6b,VI.4+
46,5.12+,7c,IX,E6 6b,VI.4+
47,5.12c/d,7c,IX,E6 6b,VI.4+
48,5.12d,7c,IX,E6 6b,VI.4+
49,5.13a,7c+,IX+,E6 6c,VI.5
50,5.13-,7c+,IX+,E7 6c,VI.5
51,5.13a/b,8a,IX+,E7 6c,VI.5+
52,5.13b,8a,IX+,E7 6c,VI.5+
53,5.13,8a,X-,E7 6c,VI.5+
54,5.13b/c,8a+,X-,E7 6c,VI.5+
55,5.13c,8a+,X-,E7 7a,VI.5+
56,5.13+,8b,X-,E7 7a,VI.6
57,5.13c/d,8b,X,E8 7a,VI.6+
58,5.13d,8b,X,E8 7a,VI.6+
59,5.14a,8b+,X+,E8 7a,VI.6+
60,5.14-,8b+,X+,E8 7a,VI.6+
61,5.14a/b,8c,X+,E9 7b,VI.7
62,5.14b,8c,X+,E9 7b,VI.7
63,5.14,8c+,XI-,E9 7b,VI.7+
64,5.14b/c,8c+,XI-,E9 7b,VI.7+
65,5.14c,8c+,XI-,E9 7b,VI.7+
66,5.14+,9a,XI,E10 7b,VI.8
67,5.14c/d,9a,XI,E10 7b,VI.8
68,5.14d,9a,XI,E10 7c,VI.8
69,5.15a,9a+,XI+,E11 7c,VI.8+
70,5.15-,9a+,XI+,E11 7c,VI.8+
71,5.15a/b,9a+,XII-,E11 7c,VI.8+
72,5.15b,9b,XII-,E11 8a,VI.9
73,5.15,9b,XII,E11 8a,VI.9
74,5.15c,9b+,XII,E11 8a,VI.9
75,5.15+,9b+,XII+,E11 8b,VI.9+
76,5.15c/d,9c,XIII-,E11 8c,VI.9+
77,5.15d,9c,XIII-,E11 8c,VI.9+
